Income EatingOut
30 38.55
80 60.45
30 30.12
50 39.34
60 46.42
30 22.46
40 38.86
40 39.16
100 66.7
50 38.07
30 32.06
80 61.65
40 36.82
120 66.87
100 64.37
80 51.69
50 31.6
50 38.77
50 41.66
30 41.03
40 43.53
60 50.59
70 40.93
60 49.06
30 29.69
90 70.65
50 42.8
30 25.78
60 48.26
110 46.09
130 56.04
100 68.63
70 46.96
70 52.41
100 57.61
50 49.83
50 38.85
90 57.5
70 38.97
80 38.65
70 51.01
60 38.21
30 30.48
80 65.48
50 47.24
80 53.9
90 61.7
60 50.72
50 35.75
70 65.6
70 57.03
40 32.32
50 44.86
60 41.99
40 39.37
90 49.75
70 64.51
60 49.27
90 58.11
80 56.42
130 80.32
60 51.94
50 40.84
90 61.48
50 43.71
40 42.17
60 48.72
50 38.98
40 41.69
30 33.54
70 51.82
30 35.77
70 46.59
60 42.31
90 61.51
80 49.76
60 45.69
70 44.75
50 39.89
30 22.6
40 41.6
50 34.65
40 36.65
40 36.62
50 45.44
70 44.25
60 44.13
70 48.49
80 63.07
110 64.25
110 85.65
120 70.7
70 45.91
80 62.22
120 64.54
110 55.69
60 45.26
90 55.05
50 43.54
80 60.89
70 42.86
50 44.95
50 40.69
40 37.83
70 66.02
110 60.8
20 24.66
50 43.9
40 41.06
60 42.94
70 52.67
80 70.16
110 52.74
140 70.69
100 52.62
60 33.72
130 35.06
100 72.72
30 35.6
50 42.49
50 40.6
70 58.74
50 35.29
30 20.27
40 39.43
100 64.63
50 43.56
50 46.01
80 50.22
40 40.56
30 36.05
30 27.29
80 49.3
30 33.29
80 53.29
110 65.47
40 31.63
70 56.42
60 47.87
60 58.96
70 41.86
60 46.96
30 35.93
50 47.7
40 30.69
70 50.63
70 53.84
90 59.06
90 42.24
60 38.22
90 65.67
40 35.41
50 37.06
30 33.88
70 51.91
60 52.99
100 60.9
70 41.35
40 39.82
90 60.12
90 53.98
110 75.22
80 76.3
50 50.97
70 46.07
40 37.27
100 70.62
30 36.67
30 25.27
60 52.8
60 42.89
40 38.57
70 53.05
110 63.57
70 56.45
80 57.92
120 67.61
80 49.96
60 51.18
60 51.81
80 61.69
50 44.8
60 46.75
30 31.09
80 74.59
40 36.9
70 54.53
80 49.11
40 31.03
90 35.89
30 24.86
40 37.94
60 53.73
40 32.82
50 35.16
40 33.49
90 70.67
60 50.62
50 40.27
40 38.73
40 32.22
90 47.54
80 57.32
40 36.22
40 41.4
120 93.06
40 35.36
90 57.17
60 44.21
100 55.95
70 54.53
100 61.69
50 44.23
90 53.11
80 64.74
40 35.54
60 48.27
50 42.34
40 41.53
50 39.97
90 54.81
50 46.99
80 45.96
50 44.72
80 61.02
60 53.81
50 40.2
40 39.64
90 62.51
90 51.77
40 29.26
100 59.54
60 39.37
60 48.77
70 53.76
50 32.42
80 47.81
80 62.72
70 47.21
90 64.21
60 62.11
60 42.46
120 79.78
60 53.21
130 56.47
70 54.14
50 33.09
110 61.16
30 31.1
30 39.62
60 41.61
80 55.51
50 46.45
100 63.73
90 59.24
50 37.65
80 66.32
120 62.44
90 55.12
40 39.26
120 35.35
90 68.67
120 87.54
110 38.76
30 30.56
60 31.46
70 52.46
50 48.62
70 43.3
60 35.27
50 45.48
70 65.96
70 53.51
40 39.4
70 48.44
60 55.92
100 57.62
60 32.55
80 45.41
20 24.15
70 47.74
40 41.81
50 37.29
110 69.5
120 74.92
30 29.13
80 68.19
60 47.38
90 61
100 51.67
40 37.05
60 50.86
70 52.44
90 53.2
80 50.61
110 61.32
60 45.18
50 53.82
110 69.77
60 42.41
70 39.23
50 42.87
80 65.43
90 64
80 46.53
100 42.61
80 62.16
50 38.21
70 56.42
90 61.65
40 33.15
70 76.45
90 81.33
60 40.23
40 33.71
40 30.84
40 42.81
80 50.14
50 38.65
50 36.09
110 39.25
50 41.36
70 60.88
80 49.3
30 29.98
90 58.66
60 49.21
40 38.14
50 48.05
120 61
40 42.12
50 40.73
40 33.11
60 48.84
30 34.1
120 46.27
110 65.24
60 49.42
20 24.12
130 73.47
50 37.33
40 35.05
50 41.98
90 78.39
50 43.66
40 43.96
40 34.18
120 54.17
60 38.32
80 52.1
100 56.01
40 38.89
90 48.24
60 46.61
60 48.87
40 40.71
50 50.13
70 53.78
40 40.12
80 49.73
60 36.44
40 29.92
60 54.24
30 33.89
40 41.41
40 36.93
40 44.83
40 39.12
40 29.57
90 44.46
40 39.69
60 46.88
70 61.91
60 56.16
50 40.22
60 42.72
70 39.18
50 50.19
70 60.08
120 57.28
90 52.02
60 43.05
80 61.82
30 35.51
40 26.7
50 32.62
40 40.06
70 61.28
110 62.14
30 28.47
50 45.67
100 77.23
80 48.46
70 53.42
130 92.32
50 43.59
90 43.32
120 75.65
60 47.72
80 45.71
60 56.3
50 36.75
50 33.79
60 46.7
50 43.91
60 35.65
60 37.06
70 53.8
40 37.63
90 50.98
80 56.7
90 54.52
80 44.78
30 39
80 50.81
50 32.17
40 39.99
80 55.92
90 48.05
40 39.54
50 37.25
60 47.08
100 71.86
100 57.9
80 66.71
80 56.26
60 47.61
20 25.67
60 46.8
110 71.85
100 49.5
30 28.37
20 30.88
100 61.06
70 65.52
100 75.57
90 59.9
40 40.66
100 59.17
40 36.46
60 50.95
100 59.49
60 49.67
40 37.38
40 38.84
70 45.32
30 32.64
40 27.22
40 32.61
30 31.11
40 33.71
40 37.98
50 53.3
40 40.94
40 37.18
60 50.82
60 38.68
80 58.82
100 56.38
30 38.65
40 36.6
40 30.32
110 63.08
30 25.93
60 41.16
130 76.73
60 45.73
100 73.1
70 39.44
60 51.07
40 36.82
60 65.61
110 58.09
50 35.65
20 33.39
30 37.67
70 50.33
70 48.44
50 38.11
40 36.51
120 44.8
90 64.61
60 48.29
70 51.01
30 35.45
90 63.63
70 52.37
110 78.73
90 67.22
50 31.95
70 46.11
70 46.83
70 54.8
120 78.05
90 64.61
40 29.98
80 43.64
120 48.22
40 41.35
60 45.98
40 35.53
30 25.98
130 67.29
40 32.39
60 46.91
90 56.56
30 27.46
80 63.16
40 35.01
50 45.21
90 68.73
50 30.67
40 25.7
100 64.45
50 42.69
70 34.67
50 41.16
100 81.5
50 44.7
70 62.96
110 64.75
70 50.26
80 48.82
